Unique Identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Supplier Name,Transparency Invoice Amount
July Tranparency 552,08/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,WATES CONSTRUCTION LTD,"£34,919"
July Tranparency 553,09/07/2021,DIG ECMS PROJECT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,COGNIZANT WORLDWIDE LTD,"£34,830"
July Tranparency 554,27/07/2021,DIG CIS STAFFING,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IBM UNITED KINGDOM LTD,"£34,796"
July Tranparency 555,01/07/2021,EP CEP WHP JETS SCOTLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,CAPITA BUSINESS SERVICES LTD,"£34,769"
July Tranparency 556,15/07/2021,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - BANK CHARGES,WORLDPAY,"£34,304"
July Tranparency 557,01/07/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONFERENCING,STONE COMPUTERS LTD,"£34,259"
July Tranparency 558,20/07/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,SODEXO LTD,"£34,150"
July Tranparency 559,08/07/2021,DIG DG COO STRATEGIC CAPABILITY,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,PIXEL GROUP LTD,"£34,100"
July Tranparency 560,28/07/2021,STR CHANGE PRIVATE PENS,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - PRODUCTION,MANNING GOTTLIEB OMD,"£34,032"
July Tranparency 561,14/07/2021,FG FSC SIMPLE PAYMENTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER - SIMPLE PAYMENT SERVICE,I MOVO LTD,"£34,006"
July Tranparency 562,06/07/2021,DIG ACCESSIBILITY SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£33,152"
July Tranparency 563,19/07/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,SODEXO LTD,"£33,127"
July Tranparency 564,09/07/2021,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - BANK CHARGES,VOCALINK,"£33,000"
July Tranparency 565,22/07/2021,OPS WDC WSD SE BERKSHIRE SURREY AND SUSSEX DO,EXP - CURRENT GRANTS - NPISH - LOCAL PARTNERSHIPS,ADUR & WORTHING COUNCILS,"£33,000"
July Tranparency 566,26/07/2021,WWEG WP FG CEP ESF1420 HERTFORDSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,REED IN PARTNERSHIP LTD,"£32,869"
July Tranparency 567,06/07/2021,FG CD ACC POSTAGE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,UK MAIL,"£32,819"
July Tranparency 568,14/07/2021,CHG KICK START RECURRENT,EXP - CURRENT GRANTS - NPISH - KICK START - START-UP FEES,PROFESSIONAL TRAINING SOLUTIONS LTD,"£32,436"
July Tranparency 569,28/07/2021,FG CD ACC POSTAGE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,UK MAIL,"£32,387"
July Tranparency 570,30/07/2021,CHG PUBLIC SECTOR PROVISION,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£32,338"
July Tranparency 571,12/07/2021,FG CRC CYBER RESILIENCE CENTRE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,SOFTCAT PLC,"£32,240"
July Tranparency 572,19/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,GRESHAM OFFICE FURNITURE LTD,"£32,160"
July Tranparency 573,19/07/2021,DWP GENERIC LEARNING,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,BABINGTON BUSINESS COLLEGE LTD,"£32,000"
July Tranparency 574,14/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,GRESHAM OFFICE FURNITURE LTD,"£31,898"
July Tranparency 575,30/07/2021,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,WILLIAMS LEA CCM LTD,"£31,830"
July Tranparency 576,12/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£31,716"
July Tranparency 577,30/07/2021,CHG PUBLIC SECTOR PROVISION,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£31,539"
July Tranparency 578,07/07/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,SEDDON CONSTRUCTION LTD,"£31,424"
July Tranparency 579,14/07/2021,WWEG WP FG CEP ESF1420 HERTFORDSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,REED IN PARTNERSHIP LTD,"£31,226"
July Tranparency 580,06/07/2021,DIG TEAM COLLABORATION ,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,INVOTRA LTD,"£31,171"
July Tranparency 581,16/07/2021,CHG KICK START RECURRENT,EXP - CURRENT GRANTS - NPISH - KICK START - START-UP FEES,ST HELENA HOSPICE LTD,"£31,099"
July Tranparency 582,27/07/2021,DIG ITLR - OTHER NETWORK CONTRACTS - DELA,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,HIGHSPEED OFFICE LTD,"£30,793"
July Tranparency 583,07/07/2021,DIG - NETWORK TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,UBDS IT CONSULTING LTD,"£30,706"
July Tranparency 584,01/07/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONFERENCING,STONE COMPUTERS LTD,"£30,343"
July Tranparency 585,12/07/2021,HR GRS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - RECRUITMENT,CABINET OFFICE,"£30,342"
July Tranparency 586,19/07/2021,OPS WDC WSD CE BLACK COUNTRY DISTRICT OFFICE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,RECRO CONSULTING LTD,"£30,210"
July Tranparency 587,30/07/2021,WWEG WP FG CEP ESF1420 MARCHES TRANS,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,REED IN PARTNERSHIP LTD,"£30,102"
July Tranparency 588,14/07/2021,OPS WDC WSD CE LEICESTERSHIRE AND NORTHAMPTONSHIRE DO,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,INTUITIVE THINKING SKILLS,"£30,084"
July Tranparency 589,23/07/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£30,063"
July Tranparency 590,14/07/2021,CHG PUBLIC SECTOR PROVISION,EXP - RENTALS UNDER NON-PFI OP LEASES - P&M - VEHICLES,KINTO U K,"£29,983"
July Tranparency 591,30/07/2021,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,WILLIAMS LEA CCM LTD,"£29,972"
July Tranparency 592,23/07/2021,OPS WDC WSD CE LINCOLNSHIRE NOTTINGHAMSHIRE RUTLAND DO,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,NOTTINGHAM CITY COUNCIL,"£29,960"
July Tranparency 593,19/07/2021,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£29,762"
July Tranparency 594,13/07/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,MCBAINS LTD,"£29,756"
July Tranparency 595,14/07/2021,EP CEP WHP JETS SCOTLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,CAPITA BUSINESS SERVICES LTD,"£29,590"
July Tranparency 596,27/07/2021,FG FIN CONT REPORTING & PRODUCTION TEAM,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ACCOUNTING,SHARED SERVICES CONNECTED LTD,"£29,518"
July Tranparency 597,12/07/2021,WWEG WP FG CEP ESF1420 HERTFORDSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,REED IN PARTNERSHIP LTD,"£29,349"
July Tranparency 598,20/07/2021,FG FIN CONT,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,DELOITTE LLP,"£29,340"
July Tranparency 599,08/07/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,BT GLOBAL SERVICE SOLUTIONS,"£29,289"
July Tranparency 600,15/07/2021,STR CHANGE PRIVATE PENS,EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD,NEST CORPORATION,"£29,191"
July Tranparency 601,27/07/2021,FG CD ESTATES RESIDUAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,SODEXO LTD,"£29,139"
July Tranparency 602,28/07/2021,DIG RBC - COMMERCIAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,SCRUMCONNECT LTD,"£29,130"
July Tranparency 603,13/07/2021,FG FIN CONT SHARED SERVICES CHANGE REQUESTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ACCOUNTING,SHARED SERVICES CONNECTED LTD,"£28,904"
July Tranparency 604,09/07/2021,DIG NOTIFICATION SERVICE PROJECT DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,COGNIZANT WORLDWIDE LTD,"£28,800"
July Tranparency 605,21/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£28,618"
July Tranparency 606,27/07/2021,CHG FES WORK MANAGEMENT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£28,475"
July Tranparency 607,09/07/2021,HR SPECIALIST TALENT ACQUISITION & RECRUITMENT,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - RECRUITMENT,CABINET OFFICE,"£28,154"
July Tranparency 608,22/07/2021,DIG TECH PLATFORM CIS REMEDIATION,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING APPS DEV,IBM UNITED KINGDOM LTD,"£28,144"
July Tranparency 609,19/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,CHART ESF 2014 2020,"£28,087"
July Tranparency 610,08/07/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£27,944"
July Tranparency 611,13/07/2021,FG CD ESTATES RESIDUAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,REMIT CONSULTING LLP,"£27,889"
July Tranparency 612,29/07/2021,DIG ACCESSIBILITY SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£27,699"
July Tranparency 613,15/07/2021,OPS DS ATW DISC EP WALES,EXP - CURRENT GRANTS - NPISH - ACCESS TO WORK - SPECIAL AIDS,J E LAWRENCE & SON LTD,"£27,690"
July Tranparency 614,15/07/2021,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - VOCA CHARGES,VOCALINK,"£27,500"
July Tranparency 615,08/07/2021,EP CEP WHP JETS SCOTLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,CAPITA BUSINESS SERVICES LTD,"£27,371"
July Tranparency 616,21/07/2021,WWEG WP FG CEP ESF1420 MARCHES TRANS,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,REED IN PARTNERSHIP LTD,"£27,323"
July Tranparency 617,08/07/2021,OPS WDC WSD LN NORTH LONDON DISTRICT OFFICE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,GREEN SKILLS PARTNERSHIP CIC,"£27,300"
July Tranparency 618,13/07/2021,STR LEGAL SERVICES,Exp - Purchase Of Goods/Services - Consultancy,PINSENT MASONS,"£27,293"
July Tranparency 619,22/07/2021,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,AMAZON WEB SERVICES EMEA SARL,"£27,274"
July Tranparency 620,30/07/2021,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,WILLIAMS LEA CCM LTD,"£26,945"
July Tranparency 621,20/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,SKILLS CONNECT,"£26,934"
July Tranparency 622,26/07/2021,DIG TECHNOLOGY ASSET MANAGEMENT PROJECTS,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£26,899"
July Tranparency 623,09/07/2021,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,AMAZON WEB SERVICES EMEA SARL,"£26,865"
July Tranparency 624,13/07/2021,EP CEP PHASE 2 NEA NB CPA04 LONDON & HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,SHAW TRUST,"£26,625"
July Tranparency 625,05/07/2021,WWEG WP FG CEP ESF1420 HERTFORDSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,REED IN PARTNERSHIP LTD,"£26,618"
July Tranparency 626,22/07/2021,DIG CHILDREN  - LIVE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,TATA CONSULTANCY SERVICES LTD,"£26,480"
July Tranparency 627,27/07/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,MCBAINS LTD,"£26,451"
July Tranparency 628,15/07/2021,DIG CROSS CUTTING SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£26,447"
July Tranparency 629,20/07/2021,DIG ON PREMISES HOSTING REFRESH,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,PIXEL GROUP LTD,"£26,400"
July Tranparency 630,15/07/2021,DIG DATA ASSET MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,AGILE SOLUTIONS GB LTD,"£26,184"
July Tranparency 631,07/07/2021,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,WILLIAMS LEA CCM LTD,"£26,089"
July Tranparency 632,09/07/2021,DIG STRATEGIC SERVICES STAFFING,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,UNIFII,"£26,058"
July Tranparency 633,12/07/2021,DIG DATA CENTRE OPERATIONS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,VYSIION LTD,"£26,051"
July Tranparency 634,28/07/2021,DWP CHG DWP RE-IMAGINE WPM,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM,"£25,956"
July Tranparency 635,22/07/2021,EP CEP WHP JETS SCOTLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,CAPITA BUSINESS SERVICES LTD,"£25,892"
July Tranparency 636,14/07/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICES,"£25,744"
July Tranparency 637,30/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,GRESHAM OFFICE FURNITURE LTD,"£25,742"
July Tranparency 638,20/07/2021,DIG MOBILITY SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,XMA LTD,"£25,440"
July Tranparency 639,20/07/2021,DIG MOBILITY SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,XMA LTD,"£25,440"
July Tranparency 640,01/07/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - RECURRENT PUBLICITY,M&C SAATCHI UK LTD,"£25,410"
July Tranparency 641,26/07/2021,FG CRC ADVANCED PERSISTENT THREAT DETECTION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,FIDUS INFORMATION SECURITY LTD,"£25,150"
July Tranparency 642,05/07/2021,OPS LB CAPITA,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,SERCO LTD,"£25,080"
July Tranparency 643,02/07/2021,WWEG WP FG CEP ESF1420 GTR CAMB & GTR P'BROUGH,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,REED IN PARTNERSHIP LTD,"£25,001"
