Identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Supplier Name,Transparency Invoice Amount
Transparency Aug 545,16/08/2021,DIG ITLR - TELEPHONY - PSNT - DELA,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING TELEPHONY,VODAFONE LTD,"£41,474"
Transparency Aug 546,18/08/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,SPELLER METCALFE MALVERN LTD,"£41,418"
Transparency Aug 547,11/08/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICES,"£41,365"
Transparency Aug 548,11/08/2021,DIG AUTHENTICATE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,EXPERIAN,"£41,287"
Transparency Aug 549,11/08/2021,DIG INTEGRATION PLATFORMS MESSAGING NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IBM UK LTD,"£41,268"
Transparency Aug 550,27/08/2021,OPS WDC WSD LN EAST LONDON DISTRICT OFFICE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,BARKING & DAGENHAM COLLEGE,"£41,250"
Transparency Aug 551,11/08/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICE SOLUTIONS,"£41,010"
Transparency Aug 552,06/08/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£40,781"
Transparency Aug 553,24/08/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,MANNING GOTTLIEB OMD,"£40,705"
Transparency Aug 554,05/08/2021,EP CEP PHASE 2 NEA NB CPA12 SOUTHERN ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,PEOPLEPLUS GROUP LTD,"£40,530"
Transparency Aug 555,19/08/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,GRESHAM OFFICE FURNITURE LTD,"£40,397"
Transparency Aug 556,11/08/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICES,"£40,290"
Transparency Aug 557,24/08/2021,OPS WDC WSD SC CENTRAL SCOTLAND DO,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SINCLAIR WELLBEING & TRAINING SOLUTIONS,"£40,275"
Transparency Aug 558,18/08/2021,DIG DYNAMIC TRUST HUB - CARERS PATHFINDER DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£40,229"
Transparency Aug 559,31/08/2021,DIG - NETWORK TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,BT GLOBAL SERVICES,"£40,042"
Transparency Aug 560,20/08/2021,FG CS HS HDAS NON CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ATOS ORIGIN IT SERVICES UK LTD,"£40,000"
Transparency Aug 561,05/08/2021,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£39,610"
Transparency Aug 562,31/08/2021,DIG APPLICATION DATA PLATFORMS EAS,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SITEKIT SYSTEMS LTD,"£39,600"
Transparency Aug 563,16/08/2021,DWP GENERIC LEARNING,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,KNOWLEDGE POOL LTD,"£39,600"
Transparency Aug 564,06/08/2021,DIG EUCS-06 DASHBOARD,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,REDESMERE LTD,"£39,064"
Transparency Aug 565,06/08/2021,DIG TS-OPERATIONS,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,REDESMERE LTD,"£39,019"
Transparency Aug 566,27/08/2021,CHG UC DIGITAL SERVICES-RECURRENT,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,COMPUTACENTER UK LTD,"£38,999"
Transparency Aug 567,25/08/2021,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,WILLIAMS LEA CCM LTD,"£38,903"
Transparency Aug 568,12/08/2021,DIG DIGITAL UC WORKING AGE LEEDS DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,TATA CONSULTANCY SERVICES LTD,"£38,808"
Transparency Aug 569,04/08/2021,CMG OPS NSP 2012 SCHEME APM,EXP - WRITE OFF - BAD DEBTS (NON-RINGFENCED) - CLIENT FUND,CM 2012 CLIENT FUNDS,"£38,762"
Transparency Aug 570,03/08/2021,OPS CFC DISCRETE BUDGET CONTROL,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,CAPITA BUSINESS SERVICES LTD TA KNOWLEDGEPOOL,"£38,502"
Transparency Aug 571,12/08/2021,EP CEP WHP JETS SCOTLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,CAPITA BUSINESS SERVICES LTD,"£38,468"
Transparency Aug 572,05/08/2021,EP CEP PHASE 2 NEA NB CPA10 NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,PEOPLEPLUS GROUP LTD,"£38,432"
Transparency Aug 573,03/08/2021,DIG RBC - COMMERCIAL COSTS,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£38,357"
Transparency Aug 574,03/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£38,345"
Transparency Aug 575,18/08/2021,STR LEGAL SERVICES,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,GOVERNMENT LEGAL DEPARTMENT,"£38,197"
Transparency Aug 576,13/08/2021,DIG INTEGRATION - STRATEGIC ARA DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SCOTT LOGIC LTD,"£37,943"
Transparency Aug 577,24/08/2021,DIG RBC - COMMERCIAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,SCRUMCONNECT LTD,"£37,920"
Transparency Aug 578,27/08/2021,DIG EMAIL & OFFICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,QBIT KLOUD LTD,"£37,845"
Transparency Aug 579,26/08/2021,DIG DIGITAL UC WORKING AGE LEEDS DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,TATA CONSULTANCY SERVICES LTD,"£37,800"
Transparency Aug 580,13/08/2021,CHG INTEGRATED SERVICE,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - DESKTOPS,ATOS IT SERVICES UK LTD,"£37,624"
Transparency Aug 581,02/08/2021,DIG DW AND DSP PLATFORM RUN,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CLOUDERA INC,"£37,400"
Transparency Aug 582,25/08/2021,DWP CHG DWP RE-IMAGINE WPM,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM,"£37,080"
Transparency Aug 583,05/08/2021,FG FIN CONT ESF 2014-2020,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,GOVERNMENT LEGAL DEPARTMENT,"£37,000"
Transparency Aug 584,24/08/2021,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM UNITED KINGDOM LTD,"£36,878"
Transparency Aug 585,13/08/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IBM UK LTD,"£36,185"
Transparency Aug 586,25/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESF RISE,"£36,138"
Transparency Aug 587,10/08/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,MANNING GOTTLIEB OMD,"£35,889"
Transparency Aug 588,11/08/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,SEDDON CONSTRUCTION LTD,"£35,498"
Transparency Aug 589,05/08/2021,WWEG CEP IPES CPA 2 NORTH EAST ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£35,334"
Transparency Aug 590,06/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£35,252"
Transparency Aug 591,26/08/2021,OPS DS ATW DISC EP NORTH EAST,EXP - CURRENT GRANTS - NPISH - ACCESS TO WORK - SPECIAL AIDS,MEASUREMENT SOLUTIONS LTD,"£35,180"
Transparency Aug 592,31/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,THINK FUTURES,"£35,127"
Transparency Aug 593,05/08/2021,FG CS HS HDAS NON CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ATOS ORIGIN IT SERVICES UK LTD,"£35,000"
Transparency Aug 594,13/08/2021,FG CS HS HDAS NON CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ATOS ORIGIN IT SERVICES UK LTD,"£35,000"
Transparency Aug 595,20/08/2021,FG CS HS HDAS NON CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ATOS ORIGIN IT SERVICES UK LTD,"£35,000"
Transparency Aug 596,03/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESF SHINE,"£34,848"
Transparency Aug 597,18/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,DIGITAL SKILLS FOR GROWTH,"£34,775"
Transparency Aug 598,10/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,EUROPEAN CIVIL SOCIETY INVOLVEMENT ECSI PROJECT,"£34,762"
Transparency Aug 599,03/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,WEST CORNWALL CLLD,"£34,738"
Transparency Aug 600,06/08/2021,DIG UNIFIED COMMS SERVICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SYMITY LTD,"£34,568"
Transparency Aug 601,24/08/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,MANNING GOTTLIEB OMD,"£34,451"
Transparency Aug 602,05/08/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,SODEXO LTD,"£34,167"
Transparency Aug 603,09/08/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£34,163"
Transparency Aug 604,09/08/2021,DIG DG COO STRATEGIC CAPABILITY,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,PIXEL GROUP LTD,"£34,100"
Transparency Aug 605,13/08/2021,FG FSC SIMPLE PAYMENTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER - SIMPLE PAYMENT SERVICE,I MOVO LTD,"£34,074"
Transparency Aug 606,24/08/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,INSIGHT DIRECT UK LTD,"£33,957"
Transparency Aug 607,16/08/2021,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REMPLOY LTD,"£33,904"
Transparency Aug 608,13/08/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM UK LTD,"£33,611"
Transparency Aug 609,13/08/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IBM UK LTD,"£33,216"
Transparency Aug 610,31/08/2021,DIG INTEGRATION - STRATEGIC ARA DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM UK LTD,"£33,146"
Transparency Aug 611,18/08/2021,CHG PRIVATE SECTOR PROVISION,Exp - Purchase Of Goods/Services - Consultancy,MILLS & REEVE LLP,"£33,036"
Transparency Aug 612,24/08/2021,CHG FES WORK MANAGEMENT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£32,947"
Transparency Aug 613,04/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£32,819"
Transparency Aug 614,10/08/2021,DIG - SECURITY CONTRACTS DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,COMPUTACENTER UK LTD,"£32,674"
Transparency Aug 615,05/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£32,582"
Transparency Aug 616,16/08/2021,FG CRC ADVANCED PERSISTENT THREAT DETECTION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,NCC GROUP SECURITY SERVICES LTD,"£32,512"
Transparency Aug 617,27/08/2021,DIG CONTACT CENTRE MAINTENANCE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,PCI PAL,"£32,508"
Transparency Aug 618,10/08/2021,DIG ON PREMISES HOSTING REFRESH,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,NETCOMPANY UK LTD,"£32,467"
Transparency Aug 619,03/08/2021,DIG TEAM COLLABORATION ,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,INVOTRA LTD,"£32,459"
Transparency Aug 620,05/08/2021,DIG EUCS-06 DASHBOARD,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,REDESMERE LTD,"£32,400"
Transparency Aug 621,04/08/2021,DIG TBPS PROJECT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,WILLIAMS LEA CCM LTD,"£32,019"
Transparency Aug 622,27/08/2021,WWEG WP FG CEP ESF1420 HERTFORDSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£31,961"
Transparency Aug 623,16/08/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,SODEXO LTD,"£31,901"
Transparency Aug 624,11/08/2021,DIG DG COO STRATEGIC CAPABILITY,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£31,894"
Transparency Aug 625,09/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,SUSTAINABLE LIVES,"£31,889"
Transparency Aug 626,16/08/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,FES SUPPORT SERVICES LTD,"£31,801"
Transparency Aug 627,27/08/2021,DIG EMAIL & OFFICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,QBIT KLOUD LTD,"£31,680"
Transparency Aug 628,31/08/2021,DIG TBPS PROJECT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,WILLIAMS LEA CCM LTD,"£31,638"
Transparency Aug 629,20/08/2021,FG FIN CONT REPORTING & PRODUCTION TEAM,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ACCOUNTING,SHARED SERVICES CONNECTED LTD,"£31,439"
Transparency Aug 630,06/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£31,373"
Transparency Aug 631,06/08/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,MANNING GOTTLIEB OMD,"£31,296"
Transparency Aug 632,20/08/2021,FG CD ACC POSTAGE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,UK MAIL,"£31,291"
Transparency Aug 633,20/08/2021,FG CD CORPORATE CHARGES,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,UK MAIL,"£31,251"
Transparency Aug 634,17/08/2021,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£31,229"
Transparency Aug 635,13/08/2021,STR LEGAL SERVICES,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,GOVERNMENT LEGAL DEPARTMENT,"£31,169"
Transparency Aug 636,02/08/2021,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REMPLOY LTD,"£31,072"
Transparency Aug 637,11/08/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING TELEPHONY,VODAFONE LTD,"£31,068"
Transparency Aug 638,13/08/2021,CMG OPS EXTERNAL CONTRACTS/SLAS INDESSER,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - DEBT COLLECTION,INDESSER,"£31,042"
Transparency Aug 639,20/08/2021,OPS WDC WSD NW MERSEYSIDE BUSINESS DEVELOPMENT TEAM,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INTUITIVE THINKING SKILLS,"£30,859"
Transparency Aug 640,20/08/2021,DIG - NETWORK TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,UBDS IT CONSULTING LTD,"£30,706"
Transparency Aug 641,26/08/2021,DIG - NETWORK TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,UBDS IT CONSULTING LTD,"£30,706"
Transparency Aug 642,17/08/2021,FG CD STRATEGY AND BUSINESS MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,PIXEL GROUP LTD,"£30,600"
Transparency Aug 643,24/08/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IBM UK LTD,"£30,580"
Transparency Aug 644,12/08/2021,FG CRC ENABLING LOG ACCESS,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,CYBER SECURITY PARTNERSHIP LLP,"£30,530"
Transparency Aug 645,25/08/2021,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,WILLIAMS LEA CCM LTD,"£30,490"
Transparency Aug 646,12/08/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,BT GLOBAL SERVICE SOLUTIONS,"£30,457"
Transparency Aug 647,23/08/2021,DIG DG COO STRATEGIC CAPABILITY,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£30,354"
Transparency Aug 648,24/08/2021,WWEG WP FG CEP ESF1420 MARCHES TRANS,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£30,272"
Transparency Aug 649,04/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£30,225"
Transparency Aug 650,12/08/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,SPELLER METCALFE MALVERN LTD,"£30,132"
Transparency Aug 651,24/08/2021,DIG TECH PLATFORM CIS REMEDIATION,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING APPS DEV,IBM UNITED KINGDOM LTD,"£30,000"
Transparency Aug 652,24/08/2021,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,QA LTD,"£29,492"
Transparency Aug 653,24/08/2021,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,QA LTD,"£29,492"
Transparency Aug 654,16/08/2021,OPS WDC WSD SE DEVON CORNWALL & SOMERSET DO,EXP - CURRENT GRANTS - NPISH - LOCAL PARTNERSHIPS,TORBAY COUNCIL,"£29,359"
Transparency Aug 655,10/08/2021,HR FAST STREAM,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,CAPITA BUSINESS SERVICES LTD,"£29,283"
Transparency Aug 656,12/08/2021,FG CD ESTATES RESIDUAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,SODEXO LTD,"£29,218"
Transparency Aug 657,10/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,DEPARTMENT FOR WORK & PENSIONS,"£29,133"
Transparency Aug 658,05/08/2021,EP CEP PHASE 2 NEA NB CPA01 CENTRAL ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,PEOPLEPLUS GROUP LTD,"£29,064"
Transparency Aug 659,13/08/2021,FG CD ESTATES TOM DEL P,EXP - SERVICE ELEMENT OF NON - PFI FIN LEASES - NON PRIME,HM REVENUE AND CUSTOMS,"£28,899"
Transparency Aug 660,31/08/2021,CHG INTEGRATED SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,BJSS LTD,"£28,870"
Transparency Aug 661,25/08/2021,EP CEP WHP JETS SCOTLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,CAPITA BUSINESS SERVICES LTD,"£28,851"
Transparency Aug 662,13/08/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IBM UK LTD,"£28,542"
Transparency Aug 663,25/08/2021,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,WILLIAMS LEA CCM LTD,"£28,518"
Transparency Aug 664,12/08/2021,PO SUPPORT,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - INTERPRETATION,THE BIG WORD,"£28,116"
Transparency Aug 665,18/08/2021,EP CEP WHP JETS SCOTLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,CAPITA BUSINESS SERVICES LTD,"£28,111"
Transparency Aug 666,24/08/2021,STR LEGAL SERVICES COMPENSATION & LEGAL COSTS,EXP - MISCELLANEOUS EXPENDITURE - SPECIAL PAYMENTS - LEGAL SETTLEMENTS,GOVERNMENT LEGAL DEPARTMENT,"£28,000"
Transparency Aug 667,03/08/2021,DIG DATA ASSET MANAGEMENT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM UNITED KINGDOM LTD,"£27,810"
Transparency Aug 668,23/08/2021,FG CD ESTATES OTHER COSTS DEL P,EXP - SERVICE ELEMENT OF NON - PFI FIN LEASES - NON PRIME,INSTANT MANAGED OFFICES,"£27,568"
Transparency Aug 669,11/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,DEPARTMENT FOR WORK & PENSIONS,"£27,502"
Transparency Aug 670,13/08/2021,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - VOCA CHARGES,VOCALINK,"£27,500"
Transparency Aug 671,16/08/2021,CHG REDUCING PARENTAL CONFLICT - CHES CPA3,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,TAVISTOCK RELATIONSHIPS,"£27,434"
Transparency Aug 672,09/08/2021,WWEG WP FG CEP ESF1420 MARCHES TRANS,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£27,381"
Transparency Aug 673,05/08/2021,WWEG WP FG CEP ESF1420 CORNWALL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£27,311"
Transparency Aug 674,06/08/2021,OPS WDC WSD LN ESSEX DISTRICT OFFICE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,PURE INSIGHTS INTERNATIONAL LTD,"£27,308"
Transparency Aug 675,13/08/2021,FG CS HS HDAS NON CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING APPS DEV,ATOS ORIGIN IT SERVICES UK LTD,"£27,290"
Transparency Aug 676,05/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£27,272"
Transparency Aug 677,04/08/2021,DIG BASELINE RUN - BENEFIT SUPPORTING SERVICES DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,ADVANCED 365 LTD,"£27,225"
Transparency Aug 678,27/08/2021,FG FIN CONT FINANCIAL CONTROL AND POLICY,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - PRINTING,ALLIED PUBLICITY SERVICES MANCHESTER LTD,"£26,783"
Transparency Aug 679,18/08/2021,FG CD ESTATES TOM DEL P,EXP - SERVICE ELEMENT OF NON - PFI FIN LEASES - NON PRIME,HM REVENUE AND CUSTOMS,"£26,759"
Transparency Aug 680,03/08/2021,STR WORK & HEALTH JOINT UNIT,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ORIGINAL RESEARCH,IFF RESEARCH LTD,"£26,750"
Transparency Aug 681,16/08/2021,DIG DG COO PEOPLE SERVICES CONTRACTS,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SYMITY LTD,"£26,685"
Transparency Aug 682,25/08/2021,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,WILLIAMS LEA CCM LTD,"£26,548"
Transparency Aug 683,04/08/2021,DIG BASELINE RUN - BENEFIT SUPPORTING SERVICES DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,MICRO FOCUS SOFTWARE UK LTD,"£26,524"
Transparency Aug 684,18/08/2021,FG CD STRATEGY AND BUSINESS MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,PIXEL GROUP LTD,"£26,400"
