Unique identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Invoice Number,Supplier Name,Transparency Invoice Amount
Jun. Transparency 499,10/06/2021,DIG TBPS PROJECT,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,9002510978,OPEN TEXT UK LTD,"£47,490"
Jun. Transparency 500,02/06/2021,HR GRS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - RECRUITMENT,3800149,CABINET OFFICE,"£47,481"
Jun. Transparency 501,16/06/2021,EP CEP PHASE 2 NEA NB CPA03 CENTRAL ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139827,STANDGUIDE LTD,"£47,242"
Jun. Transparency 502,09/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,22S17P02218/CL/20Q04/14,ESF INCLUSION & PROGRESSION,"£46,925"
Jun. Transparency 503,24/06/2021,DIG TECH SERVICES SERVICES IN LIEU,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110280769,CAPGEMINI UK PLC,"£46,357"
Jun. Transparency 504,15/06/2021,DIG TECH PLATFORM CIS SEF,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV-6140,OPENCAST SOFTWARE EUROPE LTD,"£46,290"
Jun. Transparency 505,23/06/2021,CHG DIGITAL DEBT MANAGEMENT SERVICE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110280357,CAPGEMINI UK PLC,"£46,102"
Jun. Transparency 506,16/06/2021,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003509345,ACCENTURE UK LTD,"£45,976"
Jun. Transparency 507,15/06/2021,HR OVERHEADS,CA - DEPOSITS AND ADVANCES - CYCLE TO WORK SCHEME,13225,EDENRED UK GROUP LTD,"£45,951"
Jun. Transparency 508,08/06/2021,CHG KICK START RECURRENT,EXP - CURRENT GRANTS - NPISH - KICK START - START-UP FEES,KICK5005135C,ENGINSOFT UK LTD,"£45,810"
Jun. Transparency 509,24/06/2021,DIG TECH SERVICES SERVICES IN LIEU,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110280766,CAPGEMINI UK PLC,"£45,486"
Jun. Transparency 510,24/06/2021,DIG TECHNOLOGY COO CAPABILITY,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110280535,CAPGEMINI UK PLC,"£45,329"
Jun. Transparency 511,04/06/2021,CHG DWP RE-IMAGINE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110277838,CAPGEMINI UK PLC,"£44,884"
Jun. Transparency 512,15/06/2021,WWEG WP FG CEP ESF1420 GTR CAMB & GTR P'BROUGH,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139767,REED IN PARTNERSHIP LTD,"£44,633"
Jun. Transparency 513,02/06/2021,CHG DIGITAL DEBT MANAGEMENT SERVICE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110277367,CAPGEMINI UK PLC,"£44,616"
Jun. Transparency 514,22/06/2021,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5806210707,IBM UNITED KINGDOM LTD,"£44,611"
Jun. Transparency 515,10/06/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,566073,BT GLOBAL SERVICE SOLUTIONS,"£44,438"
Jun. Transparency 516,09/06/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,566284,BT GLOBAL SERVICES,"£44,373"
Jun. Transparency 517,17/06/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,564031,BT GLOBAL SERVICE SOLUTIONS,"£44,305"
Jun. Transparency 518,04/06/2021,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ERS-390900147364-272707,CAPGEMINI UK PLC,"£44,106"
Jun. Transparency 519,09/06/2021,OPS PEN PS NEWCASTLE PC INTERNATIONAL GROUP,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - INTERPRETATION,672531,THE BIG WORD,"£44,018"
Jun. Transparency 520,02/06/2021,DIG CHANNELS SERVICES IN LIEU,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,UKNI222005648,TATA CONSULTANCY SERVICES LTD,"£43,800"
Jun. Transparency 521,01/06/2021,WWEG WP FG CEP ESF1420 LEICESTER & LEICESTERSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139241,FEDCAP EMPLOYMENT,"£43,795"
Jun. Transparency 522,11/06/2021,DIG CROSS CUTTING SERVICES,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,PI00014198,SAS SOFTWARE LTD,"£43,425"
Jun. Transparency 523,23/06/2021,EP CEP PHASE 2 NEA NB CPA12 SOUTHERN ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,140076,PEOPLEPLUS GROUP LTD,"£43,421"
Jun. Transparency 524,17/06/2021,WWEG WP FG CEP ESF1420 HERTFORDSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139848,REED IN PARTNERSHIP LTD,"£43,390"
Jun. Transparency 525,28/06/2021,CASD ANALYTICAL COMMUNITY,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ORIGINAL RESEARCH,21001364,IPSOS MORI,"£43,259"
Jun. Transparency 526,11/06/2021,CHG RAR HUB,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - REPROGRAPHICS,2795152,XEROX UK LTD,"£42,431"
Jun. Transparency 527,03/06/2021,DIG UNIFIED COMMS SERVICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,I808,SYMITY LTD,"£42,174"
Jun. Transparency 528,01/06/2021,CHG DWP RE-IMAGINE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110274209,CAPGEMINI UK PLC,"£42,138"
Jun. Transparency 529,11/06/2021,DIG EMAIL & OFFICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-030-02,QBIT KLOUD LTD,"£42,090"
Jun. Transparency 530,15/06/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,DENTONS055394.00613,DENTONS UK & MIDDLE EAST LLP,"£42,000"
Jun. Transparency 531,25/06/2021,DIG CHANNELS SERVICES IN LIEU,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,UKNI222009951,TATA CONSULTANCY SERVICES LTD,"£42,000"
Jun. Transparency 532,18/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,SINC0121053617,SOUTHERNS BROADSTOCK LTD,"£41,773"
Jun. Transparency 533,10/06/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,566197,BT GLOBAL SERVICE SOLUTIONS,"£41,278"
Jun. Transparency 534,23/06/2021,CMG OPS EXTERNAL CONTRACTS/SLAS HARPER MACLEOD,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,224946,HARPER MACLEOD LLP,"£41,205"
Jun. Transparency 535,28/06/2021,OPS SE ST DIRECTOR,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5806211093,IBM UNITED KINGDOM LTD,"£40,943"
Jun. Transparency 536,24/06/2021,DIG USER RESEARCH & USER EXPERIENCE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5806211043,IBM,"£40,620"
Jun. Transparency 537,23/06/2021,DIG TECH PLATFORM CIS REMEDIATION,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING APPS DEV,5806210806,IBM UNITED KINGDOM LTD,"£40,593"
Jun. Transparency 538,21/06/2021,DIG NOTIFICATION SERVICE PROJECT DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110280349,CAPGEMINI UK PLC,"£40,591"
Jun. Transparency 539,10/06/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,566471,BT GLOBAL SERVICE SOLUTIONS,"£40,584"
Jun. Transparency 540,23/06/2021,DIG NOTIFICATION SERVICE PROJECT DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,9002550455,OPEN TEXT UK LTD,"£40,420"
Jun. Transparency 541,09/06/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,565957,BT GLOBAL SERVICES,"£40,290"
Jun. Transparency 542,07/06/2021,OPS WDC WSD SE DEVON CORNWALL & SOMERSET DO,EXP - CURRENT GRANTS - NPISH - LOCAL PARTNERSHIPS,1769470,TORBAY COUNCIL,"£40,200"
Jun. Transparency 543,17/06/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,566474,BT GLOBAL SERVICE SOLUTIONS,"£39,899"
Jun. Transparency 544,02/06/2021,DIG DATA CENTRE OPERATIONS DEL P,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,11486,CROWN HOSTING DATA CENTRES LTD,"£39,361"
Jun. Transparency 545,02/06/2021,DIG CORPORATE SERVICES (IT),EXP - PURCHASE OF GOODS/SERVICES - HOSTING,ARBK/00008401,ADVANCED 365 LTD,"£39,204"
Jun. Transparency 546,23/06/2021,EP CEP PHASE 2 NEA NB CPA10 NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,140072,PEOPLEPLUS GROUP LTD,"£39,093"
Jun. Transparency 547,21/06/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,TCM6959,MCBAINS LTD,"£38,722"
Jun. Transparency 548,16/06/2021,DIG DYNAMIC TRUST HUB,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003509219,ACCENTURE UK LTD,"£38,426"
Jun. Transparency 549,11/06/2021,OPS WDC WSD NE NORTHUMBRIA TYNE AND WEAR DISTRICT OFFICE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,INV-0006,THE RECUITMENT JUNCTION,"£38,250"
Jun. Transparency 550,15/06/2021,DIG TECH PLATFORM CIS BAU,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5805210929,IBM UNITED KINGDOM LTD,"£37,671"
Jun. Transparency 551,10/06/2021,CHG PUBLIC SECTOR PROVISION,EXP - RENTALS UNDER NON-PFI OP LEASES - P&M - VEHICLES,3731946,KINTO U K,"£37,344"
Jun. Transparency 552,30/06/2021,DWP GENERIC LEARNING,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,X146599,KNOWLEDGE POOL LTD,"£37,200"
Jun. Transparency 553,14/06/2021,DIG EUCS-06 DASHBOARD,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,0000001322,REDESMERE LTD,"£37,111"
Jun. Transparency 554,28/06/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - WATER,2021-06A,SCOTTISH WATER BUSINESS STREAM LTD,"£36,538"
Jun. Transparency 555,11/06/2021,HR OHS,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL - OCCUPATIONAL HEALTH SERVICE,101880,PAM GROUP,"£36,198"
Jun. Transparency 556,08/06/2021,CMG OPS NSP 2012 SCHEME APM,EXP - WRITE OFF - BAD DEBTS (NON-RINGFENCED) - CLIENT FUND,070621,CM 2012 CLIENT FUNDS,"£36,102"
Jun. Transparency 557,02/06/2021,DIG DIGITAL UC WORKING AGE LEEDS DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,UKNI222005607,TATA CONSULTANCY SERVICES LTD,"£36,000"
Jun. Transparency 558,30/06/2021,DWP GENERIC LEARNING,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,X146343,KNOWLEDGE POOL LTD,"£36,000"
Jun. Transparency 559,17/06/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CIN8766,SPELLER METCALFE MALVERN LTD,"£35,894"
Jun. Transparency 560,21/06/2021,OPS WDC WSD SE DORSET WILTSHIRE HAMPSHIRE AND IOW DO,EXP - CURRENT GRANTS - NPISH - LOCAL PARTNERSHIPS,81087439,SOUTHAMPTON CITY COUNCIL,"£35,757"
Jun. Transparency 561,22/06/2021,FG FIN CONT REPORTING & PRODUCTION TEAM,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ACCOUNTING,100024182,SHARED SERVICES CONNECTED LTD,"£35,681"
Jun. Transparency 562,08/06/2021,FG CRC CYBER RESILIENCE CENTRE,EXP - PURCHASE OF GOODS/SERVICES - OTHER - DEPARTMENTAL SUBSCRIPTIONS,3883043805,COMPUTACENTER UK LTD,"£35,642"
Jun. Transparency 563,25/06/2021,STR LEGAL SERVICES COMPENSATION & LEGAL COSTS,EXP - MISCELLANEOUS EXPENDITURE - SPECIAL PAYMENTS - LEGAL PAYMENTS ON ACCOUNT,GLDZ2003725-R3,GOVERNMENT LEGAL DEPARTMENT,"£35,600"
Jun. Transparency 564,28/06/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,E09534,MANNING GOTTLIEB OMD,"£35,420"
Jun. Transparency 565,02/06/2021,WWEG WP FG CEP ESF1420 HERTFORDSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139257,REED IN PARTNERSHIP LTD,"£35,028"
Jun. Transparency 566,22/06/2021,OPS WDC WSD LN ESSEX DISTRICT OFFICE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,0000000022,APPLYNOWTV LTD,"£35,000"
Jun. Transparency 567,07/06/2021,DIG DIGITAL UC LEEDS DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,UKNI222003379,TATA CONSULTANCY SERVICES LTD,"£34,800"
Jun. Transparency 568,23/06/2021,DIG DIGITAL UC LEEDS DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,UKNI222005599,TATA CONSULTANCY SERVICES LTD,"£34,800"
Jun. Transparency 569,02/06/2021,DIG DIGITAL UC WORKING AGE LEEDS DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,UKNI222005629,TATA CONSULTANCY SERVICES LTD,"£34,692"
Jun. Transparency 570,10/06/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,566610,BT GLOBAL SERVICE SOLUTIONS,"£34,620"
Jun. Transparency 571,14/06/2021,DIG VME-R MAINTENANCE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,18000043682020,HMRC,"£34,599"
Jun. Transparency 572,10/06/2021,CHG UC DESIGN & BUILD PROGRAMME MANAGER,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,KZ27295,XMA LTD,"£34,438"
Jun. Transparency 573,01/06/2021,CHG DWP RE-IMAGINE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110271161,CAPGEMINI UK PLC,"£34,409"
Jun. Transparency 574,04/06/2021,EP CEP WHP JETS SCOTLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139426,CAPITA BUSINESS SERVICES LTD,"£34,029"
Jun. Transparency 575,16/06/2021,DIG DYNAMIC TRUST HUB - CARERS PATHFINDER DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003509218,ACCENTURE UK LTD,"£33,959"
Jun. Transparency 576,25/06/2021,WWEG WP FG CEP ESF1420 CUMBRIA,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,140197,G4S REGIONAL MANAGEMENT UK & I LTD,"£33,751"
Jun. Transparency 577,30/06/2021,DWP GENERIC LEARNING,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,X145925A,KNOWLEDGE POOL LTD,"£33,600"
Jun. Transparency 578,09/06/2021,STR PRIVATE PENS DIRECTOR & SUPPORT,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - GOV ACTUARYS,SINE/00000774,GOVERNMENT ACTUARYS DEPARTMENT GAD,"£33,311"
Jun. Transparency 579,16/06/2021,DIG LOCAL PRINT SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2795078,XEROX UK LTD,"£33,165"
Jun. Transparency 580,29/06/2021,OPS WDC WSD CE BIRMINGHAM AND SOLIHULL DISTRICT OFFICE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,0000000342,INTUITIVE THINKING SKILLS,"£33,000"
Jun. Transparency 581,08/06/2021,CHG KICK START RECURRENT,EXP - CURRENT GRANTS - NPISH - KICK START - START-UP FEES,KICK5044730A,INTEC BUSINESS COLLEGES LTD,"£32,868"
Jun. Transparency 582,24/06/2021,OPS DS ATW DISC EP SOUTH EAST,EXP - CURRENT GRANTS - NPISH - ACCESS TO WORK - TRAVEL TO WORK,8845317,GM COACHWORKS LTD,"£32,236"
Jun. Transparency 583,10/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,509260,GRESHAM OFFICE FURNITURE LTD,"£32,198"
Jun. Transparency 584,18/06/2021,OPS WDC WSD LN KENT DISTRICT OFFICE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,0000000380,LOWLAND TRAINING SERVICES LTD,"£31,590"
Jun. Transparency 585,25/06/2021,DIG DIGITAL UC WORKING AGE LEEDS DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,UKNI222009950,TATA CONSULTANCY SERVICES LTD,"£31,458"
Jun. Transparency 586,25/06/2021,DIG UNIFIED COMMS SERVICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,1854,SYMITY LTD,"£31,313"
Jun. Transparency 587,25/06/2021,DIG DIGITAL UC WORKING AGE LEEDS DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,UKNI222009949,TATA CONSULTANCY SERVICES LTD,"£31,200"
Jun. Transparency 588,11/06/2021,FG FSC SIMPLE PAYMENTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER - SIMPLE PAYMENT SERVICE,IMVI0000000063,I MOVO LTD,"£31,180"
Jun. Transparency 589,02/06/2021,DIG RBC - RUN & MAINTAIN COSTS DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110277345,CAPGEMINI UK PLC,"£31,128"
Jun. Transparency 590,25/06/2021,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - BANK CHARGES,154606907,WORLDPAY,"£31,119"
Jun. Transparency 591,28/06/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - PRODUCTION,E09532,MANNING GOTTLIEB OMD,"£31,100"
Jun. Transparency 592,14/06/2021,SE CE CUSTOMER INSIGHT,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,GB01G000201586,ERNST & YOUNG LLP,"£31,000"
Jun. Transparency 593,30/06/2021,DIG EUC TECHNOLOGY SOLUTIONS CORE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-G11-DSR-09,PIXEL GROUP LTD,"£31,000"
Jun. Transparency 594,15/06/2021,FG FIN CONT REPORTING & PRODUCTION TEAM,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ACCOUNTING,100022990,SHARED SERVICES CONNECTED LTD,"£30,794"
Jun. Transparency 595,15/06/2021,FG FIN CONT REPORTING & PRODUCTION TEAM,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ACCOUNTING,100023242,SHARED SERVICES CONNECTED LTD,"£30,794"
Jun. Transparency 596,14/06/2021,DIG ECMS PROJECT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CW101-0000745885,COGNIZANT WORLDWIDE LTD,"£30,780"
Jun. Transparency 597,29/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,SINC0121042765,SOUTHERNS BROADSTOCK LTD,"£30,680"
Jun. Transparency 598,23/06/2021,EP CEP PHASE 2 NEA NB CPA01 CENTRAL ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,140070,PEOPLEPLUS GROUP LTD,"£30,674"
Jun. Transparency 599,28/06/2021,HR CHANGE REQUESTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - HR,100024235,SHARED SERVICES CONNECTED LTD,"£30,668"
Jun. Transparency 600,28/06/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,E09726,MANNING GOTTLIEB OMD,"£30,614"
Jun. Transparency 601,07/06/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,GB3002-CI-21-05863,CUSHMAN & WAKEFIELD DEBENHAM TIE LEUNG LTD,"£30,583"
Jun. Transparency 602,25/06/2021,DIG UNIFIED COMMS SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONFERENCING,003977365,MEETINGZONE LTD,"£30,451"
Jun. Transparency 603,01/06/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CIN8735,SPELLER METCALFE MALVERN LTD,"£30,371"
Jun. Transparency 604,28/06/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,E09725,MANNING GOTTLIEB OMD,"£30,358"
Jun. Transparency 605,09/06/2021,EP CEP WHP JETS SCOTLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139678,CAPITA BUSINESS SERVICES LTD,"£30,330"
Jun. Transparency 606,08/06/2021,DIG RTG DATA PLATFORMS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,PS16958,CLOUDERA INC,"£30,240"
Jun. Transparency 607,28/06/2021,CHG UC DESIGN & BUILD PROGRAMME MANAGER,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV001245,INFINITYWORKS CONSULTING LTD,"£30,192"
Jun. Transparency 608,25/06/2021,DIG DIGITAL UC LEEDS DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,UKNI222009943,TATA CONSULTANCY SERVICES LTD,"£30,000"
Jun. Transparency 609,03/06/2021,FG CRC ADVANCED PERSISTENT THREAT DETECTION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,GB014059624,CGI IT UK LTD,"£29,949"
Jun. Transparency 610,15/06/2021,FG CD ESTATES RESIDUAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,16566,REMIT CONSULTING LLP,"£29,944"
Jun. Transparency 611,11/06/2021,DIG UNIFIED COMMS SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONFERENCING,003940008,MEETINGZONE LTD,"£29,827"
Jun. Transparency 612,09/06/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,566288,BT GLOBAL SERVICES,"£29,705"
Jun. Transparency 613,25/06/2021,WWEG WP FG CEP ESF1420 ENTERPRISE M3,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,140210,FEDCAP EMPLOYMENT,"£29,585"
Jun. Transparency 614,29/06/2021,DIG FED CFCD IT SPEND,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110280343,CAPGEMINI UK PLC,"£29,572"
Jun. Transparency 615,30/06/2021,DIG EUC TECHNOLOGY SOLUTIONS CORE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-G11-DSR-10,PIXEL GROUP LTD,"£29,450"
Jun. Transparency 616,24/06/2021,DIG - NETWORK TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,3883052998,COMPUTACENTER UK LTD,"£29,406"
Jun. Transparency 617,25/06/2021,WWEG WP FG CEP ESF1420 LANCASHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,140196,G4S REGIONAL MANAGEMENT UK & I LTD,"£29,326"
Jun. Transparency 618,10/06/2021,OPS WDC WSD NE NORTHUMBRIA TYNE AND WEAR DISTRICT OFFICE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,0000000402,THE JUNCTION 42 FOUNDATION,"£29,260"
Jun. Transparency 619,23/06/2021,DIG APPLICATION DATA PLATFORMS CIS RELEASE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5806210808,IBM UNITED KINGDOM LTD,"£29,201"
Jun. Transparency 620,04/06/2021,DIG TEAM COLLABORATION ,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,INV-000866,INVOTRA LTD,"£29,057"
Jun. Transparency 621,18/06/2021,FG CS HS HDAS NON CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5584364013,ATOS ORIGIN IT SERVICES UK LTD,"£28,971"
Jun. Transparency 622,29/06/2021,DIG IOS ARCHITECTURE DESIGN,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110280775,CAPGEMINI UK PLC,"£28,963"
Jun. Transparency 623,30/06/2021,FG FIN CONT SHARED SERVICES CHANGE REQUESTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ACCOUNTING,100023737,SHARED SERVICES CONNECTED LTD,"£28,904"
Jun. Transparency 624,10/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,510263,GRESHAM OFFICE FURNITURE LTD,"£28,900"
Jun. Transparency 625,16/06/2021,FG CD ESTATES TOM DEL P,EXP - SERVICE ELEMENT OF NON - PFI FIN LEASES - NON PRIME,18000008362021,HM REVENUE AND CUSTOMS,"£28,899"
Jun. Transparency 626,17/06/2021,"DIG ENGAGEMENT, ADOPTION & RELEASE SERVICE",EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003509502,ACCENTURE UK LTD,"£28,810"
Jun. Transparency 627,03/06/2021,FG CD ACC POSTAGE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,7344439,UK MAIL,"£28,456"
