Identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Invoice Number,Supplier Name,Transparency Invoice Amount
May.Tranparency 503,17/05/2021,CHG RTI STRATEGIC SOLUTION,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,MONGODBIIR015929,MONGODB LIMITED,"£48,682"
May.Tranparency 504,10/05/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,CIN8676,SPELLER METCALFE MALVERN LTD,"£48,576"
May.Tranparency 505,25/05/2021,DIG DESKTOP SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,99342160,CITRIX SYSTEMS UK LTD,"£48,393"
May.Tranparency 506,27/05/2021,FG CSO CHIEF SECURITY OFFICER,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003507461,ACCENTURE UK LTD,"£48,350"
May.Tranparency 507,19/05/2021,DIG - TOOLING MAINTENANCE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,0000027263,FUSION BUSINESS SOLUTIONS (UK) LTD,"£47,880"
May.Tranparency 508,05/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,20S19L02200/CL/20Q04/15,CLLD SOUTH LEEDS,"£47,857"
May.Tranparency 509,10/05/2021,WWEG WP FG CEP ESF1420 MARCHES TRANS,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,138616,REED IN PARTNERSHIP LTD,"£47,812"
May.Tranparency 510,20/05/2021,CHG DWP RE-IMAGINE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110274211,CAPGEMINI UK PLC,"£47,646"
May.Tranparency 511,25/05/2021,DIG SERVICES & SOFTWARE - HEALTH DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV-6039,OPENCAST SOFTWARE EUROPE LTD,"£47,639"
May.Tranparency 512,12/05/2021,DIG CHANNELS SERVICES IN LIEU,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,UKN1222003354,TATA CONSULTANCY SERVICES LTD,"£47,400"
May.Tranparency 513,26/05/2021,DIG O365 PLATFORM SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,INV02809982,SOFTCAT PLC,"£47,304"
May.Tranparency 514,11/05/2021,OPS OPE SPECIAL PAYMENTS,EXP - MISCELLANEOUS EXPENDITURE - SPECIAL PAYMENTS - STAFF/CONTRACTORS,Z1802460/FBL/A5(1)-SPECIALPAYMENT-NGUYEN,GOV LEGAL CLIENT MONIES,"£47,024"
May.Tranparency 515,05/05/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,E04396,MANNING GOTTLIEB OMD,"£46,925"
May.Tranparency 516,17/05/2021,DIG TECH PLATFORM CIS SEF,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV-6041,OPENCAST SOFTWARE EUROPE LTD,"£46,773"
May.Tranparency 517,04/05/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5804211081,IBM UK LTD,"£46,746"
May.Tranparency 518,04/05/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5804211084,IBM UK LTD,"£46,726"
May.Tranparency 519,27/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,92282069,MITIE PROPERTY SERVICES UK LTD,"£46,145"
May.Tranparency 520,19/05/2021,WWEG WP FG CEP ESF1420 CORNWALL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,138907,REED IN PARTNERSHIP LTD,"£45,969"
May.Tranparency 521,12/05/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,563509,BT GLOBAL SERVICES,"£45,501"
May.Tranparency 522,25/05/2021,DIG DYNAMIC TRUST HUB - CARERS PATHFINDER DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003507264,ACCENTURE UK LTD,"£45,439"
May.Tranparency 523,06/05/2021,DIG DATA CENTRE OPERATIONS DEL P,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,11381,CROWN HOSTING DATA CENTRES LTD,"£45,254"
May.Tranparency 524,10/05/2021,DIG TECHNOLOGY COO OWNED ASSETS DEL A,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,DWP026,UNIFII,"£45,025"
May.Tranparency 525,20/05/2021,DIG EMAIL & OFFICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-030-01,QBIT KLOUD LTD,"£45,000"
May.Tranparency 526,14/05/2021,STR LEGAL SERVICES,EXP - MISCELLANEOUS EXPENDITURE - SPECIAL PAYMENTS - LEGAL SETTLEMENTS,Z1903811-R3,GOVERNMENT LEGAL DEPARTMENT,"£45,000"
May.Tranparency 527,17/05/2021,DIG APPLICATION DATA PLATFORMS CIS RELEASE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5805210232,IBM UNITED KINGDOM LTD,"£44,831"
May.Tranparency 528,11/05/2021,FG CD ESTATES RESIDUAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,9900596663,SODEXO LTD,"£44,493"
May.Tranparency 529,26/05/2021,FG CD ESTATES RESIDUAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,9900596663A,SODEXO LTD,"£44,493"
May.Tranparency 530,07/05/2021,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,QA-PRI-000000003,QA LTD,"£44,440"
May.Tranparency 531,25/05/2021,WWEG WP FG CEP ESF1420 MARCHES TRANS,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139037,REED IN PARTNERSHIP LTD,"£43,674"
May.Tranparency 532,07/05/2021,DIG EUC TECHNOLOGY SOLUTIONS CORE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,17019,SANDERSON GOVERNMENT & DEFENCE LTD,"£43,584"
May.Tranparency 533,04/05/2021,CHG FES WORK MANAGEMENT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5804211082,IBM,"£43,493"
May.Tranparency 534,07/05/2021,WWEG CEP IPES CPA 3 NORTH WEST ENGLAND (INC GR MANCHEST),EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,138537,ECONOMIC SOLUTIONS LTD,"£43,317"
May.Tranparency 535,05/05/2021,CHG REDUCING PARENTAL CONFLICT,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,CF2021SLAMQ42,SOUTH LONDON & MAUDSLEY NHS FOUNDATION TRUST,"£43,237"
May.Tranparency 536,24/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,II9706435 B,NG BAILEY FACILITIES SERVICES LTD,"£42,640"
May.Tranparency 537,10/05/2021,DIG TRANSFORMATION TRANSITIONAL HOSTING SERVICES,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,1320,REDESMERE LTD,"£42,634"
May.Tranparency 538,21/05/2021,CMG OPS EXTERNAL CONTRACTS/SLAS HARPER MACLEOD,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,224900,HARPER MACLEOD LLP,"£42,610"
May.Tranparency 539,12/05/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,564544,BT GLOBAL SERVICE SOLUTIONS,"£42,515"
May.Tranparency 540,11/05/2021,OPS WDC WSD NE NORTHUMBRIA TYNE AND WEAR DISTRICT OFFICE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,0000000399,THE JUNCTION 42 FOUNDATION#ZANZIBAR,"£42,460"
May.Tranparency 541,13/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,27S18P02844/CL/21Q01/08,OXFORDSHIRE SKILLS FOR BUSINESS,"£42,383"
May.Tranparency 542,24/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,35S17C02103/CL/20Q04/27,ESFA ESF PROJECTS,"£41,911"
May.Tranparency 543,25/05/2021,DIG DYNAMIC TRUST HUB,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003507265,ACCENTURE UK LTD,"£41,732"
May.Tranparency 544,10/05/2021,OPS WDC WSD SE DEVON CORNWALL & SOMERSET DO,EXP - CURRENT GRANTS - NPISH - LOCAL PARTNERSHIPS,1740528,TORBAY COUNCIL,"£41,700"
May.Tranparency 545,12/05/2021,DIG NOTIFICATION SERVICE PROJECT DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,9002491568,OPEN TEXT UK LTD,"£41,650"
May.Tranparency 546,13/05/2021,OPS SE DRS PIP BLACKPOOL (SEO1),EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - REPROGRAPHICS,2792609,XEROX UK LTD ,"£41,589"
May.Tranparency 547,25/05/2021,STR LEGAL SERVICES,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,492285,GOVERNMENT LEGAL DEPARTMENT,"£41,532"
May.Tranparency 548,21/05/2021,DIG PENSIONS & DISABLED SERVICE INITIATIVES,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,16-01751,ACTIAN EUROPE LTD,"£40,903"
May.Tranparency 549,05/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,10256619,KIER CONSTRUCTION LTD,"£40,585"
May.Tranparency 550,07/05/2021,OPS WDC WSD NW MERSEYSIDE BUSINESS DEVELOPMENT TEAM,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,0000000277,PATHWAYS TO WORK LTD,"£40,460"
May.Tranparency 551,24/05/2021,WWEG WP FG CEP ESF1420 MARCHES MD,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139008,REED IN PARTNERSHIP LTD,"£40,453"
May.Tranparency 552,12/05/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,563508,BT GLOBAL SERVICES,"£40,290"
May.Tranparency 553,12/05/2021,CHG FES WORK MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,UKN1222003360,TATA CONSULTANCY SERVICES LTD,"£40,248"
May.Tranparency 554,18/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,21050073,SEDDON CONSTRUCTION LTD,"£40,236"
May.Tranparency 555,18/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - WATER,2021-05SCOTB,SCOTTISH WATER BUSINESS STREAM LTD,"£40,022"
May.Tranparency 556,21/05/2021,OPS WDC WSD LN SUTTON JOBCENTRE PLUS,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,0000000002,BAPEI CONSULTING LTD#ZANZIBAR,"£39,980"
May.Tranparency 557,25/05/2021,CHG FES WORK MANAGEMENT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110277375,CAPGEMINI UK PLC,"£39,802"
May.Tranparency 558,17/05/2021,DIG TECH PLATFORM CIS BAU,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,IGBSA74835,MICRO FOCUS SOFTWARE UK LTD,"£39,672"
May.Tranparency 559,14/05/2021,DIG AUTHENTICATE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,IEX38002458719,EXPERIAN,"£39,445"
May.Tranparency 560,10/05/2021,STR WORK & HEALTH INNOVATION FUND,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ORIGINAL RESEARCH,INV-7214,INSTITUTE FOR EMPLOYMENT STUDIES,"£39,300"
May.Tranparency 561,12/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,04S20P03468/CL/21Q01/01,UPSKILLING EMPLOYEES IN C2C,"£39,211"
May.Tranparency 562,06/05/2021,DIG ON PREMISES HOSTING REFRESH,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,3883024952,COMPUTACENTER UK LTD,"£39,204"
May.Tranparency 563,25/05/2021,DIG NOTIFICATION SERVICE PROJECT DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110277352,CAPGEMINI UK PLC,"£39,193"
May.Tranparency 564,19/05/2021,DIG IOS ARCHITECTURE DESIGN,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110276941,CAPGEMINI UK PLC,"£39,192"
May.Tranparency 565,24/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,09S17C01936/CL/20Q04/27,ESFA ESF PROJECTS,"£38,859"
May.Tranparency 566,20/05/2021,OPS WDC WSD SC SOUTH WEST SCOTLAND DO,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,0000001509,STANDGUIDE LTD,"£38,340"
May.Tranparency 567,05/05/2021,OPS WDC WSD LN WEST LONDON DISTRICT OFFICE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,0000000040,PHOENIX TRAINING SERVICES MIDLANDS LTD,"£38,060"
May.Tranparency 568,25/05/2021,DIG DYNAMIC TRUST HUB,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003507209,ACCENTURE UK LTD,"£38,035"
May.Tranparency 569,20/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,10258031,KIER CONSTRUCTION LTD,"£38,028"
May.Tranparency 570,05/05/2021,DIG DIGITAL CROSS BOUNDARY TEAM INITIATIVES DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2600110274421,CAPGEMINI UK PLC,"£37,753"
May.Tranparency 571,10/05/2021,OPS CFC DISCRETE BUDGET CONTROL,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING NETWORKS,0900000251-120,AIRWAVE SOLUTIONS LTD,"£37,751"
May.Tranparency 572,06/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,25S17L02170/CL/20Q03/16,NORTH OF TYNE CLLD,"£37,651"
May.Tranparency 573,20/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,17S17C02028/CL/20Q04/27,ESFA ESF PROJECTS,"£37,596"
May.Tranparency 574,04/05/2021,DIG PENSIONS & DISABLED SERVICE INITIATIVES,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,3003504219,ACCENTURE UK LTD,"£37,327"
May.Tranparency 575,07/05/2021,SE SPD RECORDS MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - REMOTE STORAGE,0665441,IRON MOUNTAIN UK LTD,"£37,292"
May.Tranparency 576,18/05/2021,FG CRC ADVANCED PERSISTENT THREAT DETECTION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV01855,CYBERIS LTD,"£37,243"
May.Tranparency 577,10/05/2021,DIG EUCS-06 DASHBOARD,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,0000001317,REDESMERE LTD,"£37,111"
May.Tranparency 578,28/05/2021,DIG CHILDREN  - LIVE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,UKNI222003630,TATA CONSULTANCY SERVICES LTD,"£37,098"
May.Tranparency 579,07/05/2021,EP CEP WHP JETS SCOTLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,138495,CAPITA BUSINESS SERVICES LTD,"£36,988"
May.Tranparency 580,17/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,12S20P03492/CL/21Q01/06,TRAIN TO GAIN,"£36,861"
May.Tranparency 581,26/05/2021,DIG MAINTENANCE - WORKING AGE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SI-284,LAYER 7 IT SECURITY,"£36,252"
May.Tranparency 582,07/05/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3883020278,COMPUTACENTER UK LTD,"£36,093"
May.Tranparency 583,27/05/2021,DWP GENERIC LEARNING,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,X146144,KNOWLEDGE POOL LTD,"£36,000"
May.Tranparency 584,27/05/2021,DWP GENERIC LEARNING,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,X146443,KNOWLEDGE POOL LTD,"£36,000"
May.Tranparency 585,17/05/2021,DIG TECH PLATFORM CIS REMEDIATION,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5805210229,IBM UNITED KINGDOM LTD,"£35,890"
May.Tranparency 586,06/05/2021,STR LEGAL SERVICES,Exp - Purchase Of Goods/Services - Consultancy,102159,MILLS & REEVE SOLICITORS,"£35,885"
May.Tranparency 587,11/05/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,564014,BT GLOBAL SERVICE SOLUTIONS,"£35,874"
May.Tranparency 588,11/05/2021,OPS SE ST DIRECTOR,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110274269,CAPGEMINI UK PLC,"£35,797"
May.Tranparency 589,28/05/2021,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ERS-390900146945-272554,CAPGEMINI UK PLC,"£35,788"
May.Tranparency 590,10/05/2021,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ERS-390900144236-271424,CAPGEMINI UK PLC,"£35,778"
May.Tranparency 591,14/05/2021,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - BANK CHARGES,150228756,WORLDPAY,"£35,622"
May.Tranparency 592,26/05/2021,DIG O365 PLATFORM SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,INV02809980,SOFTCAT PLC,"£35,478"
May.Tranparency 593,26/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,34S16P00323/CL/21Q01/22,TEES VALLEY PATHWAYS ESF 1420,"£35,273"
May.Tranparency 594,10/05/2021,DIG PLATFORMS FRAUD & ERROR REFRESH SPEND,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,INV2021-116,ALTIA SOLUTIONS LTD,"£34,776"
May.Tranparency 595,24/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,00S17P02272/CL/21Q01/16,EUROPEAN CIVIL SOCIETY INVOLVEMENT ECSI PROJECT,"£34,762"
May.Tranparency 596,20/05/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CIN8726,SPELLER METCALFE MALVERN LTD,"£34,253"
May.Tranparency 597,18/05/2021,DIG IDENTITY SERVICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,0000000801,CAVENDISH WOOD LTD,"£34,200"
May.Tranparency 598,13/05/2021,DIG DIGITAL UC WORKING AGE LEEDS DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,UKNI222003398,TATA CONSULTANCY SERVICES LTD,"£34,200"
May.Tranparency 599,25/05/2021,"DIG ENGAGEMENT, ADOPTION & RELEASE SERVICE",EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003507256,ACCENTURE UK LTD,"£34,106"
May.Tranparency 600,13/05/2021,DIG DIGITAL UC WORKING AGE LEEDS DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,UKNI222003455,TATA CONSULTANCY SERVICES LTD,"£34,104"
May.Tranparency 601,14/05/2021,FG FSC SIMPLE PAYMENTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER - SIMPLE PAYMENT SERVICE,IMVI0000000048,I MOVO LTD,"£34,088"
May.Tranparency 602,10/05/2021,DIG EUCS-06 DASHBOARD,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,S-INV-023363,CHAUCER GROUP LTD,"£33,930"
May.Tranparency 603,20/05/2021,SE SPD PRINT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - PRINTING,C51394,ALLIED PUBLICITY SERVICES MANCHESTER LTD,"£33,731"
May.Tranparency 604,17/05/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3883016545,COMPUTACENTER UK LTD,"£33,587"
May.Tranparency 605,18/05/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,9900597635,SODEXO LTD,"£33,544"
May.Tranparency 606,25/05/2021,DIG LOCAL PRINT SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2792482,XEROX UK LTD ,"£33,269"
May.Tranparency 607,19/05/2021,DIG ACCESSIBILITY SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3980042846AS,COMPUTACENTER UK LTD,"£33,129"
May.Tranparency 608,13/05/2021,OPS WDC WSD NW MERSEYSIDE BUSINESS DEVELOPMENT TEAM,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,0000000280,PATHWAYS TO WORK LTD,"£32,900"
May.Tranparency 609,26/05/2021,OPS WDC WSD SE AST BUS DEV & PARTNERSHIPS TEAM,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,0000000256,INTUITIVE THINKING SKILLS,"£32,699"
May.Tranparency 610,25/05/2021,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003507206,ACCENTURE UK LTD,"£32,592"
May.Tranparency 611,07/05/2021,OPS WDC WSD KICKSTART,EXP - CURRENT GRANTS - NPISH - KICK START - SERVICE FEES,KICK5044593A,PROFESSIONAL TRAINING SOLUTIONS LTD,"£32,579"
May.Tranparency 612,28/05/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,5280041,INSIGHT DIRECT UK LTD,"£32,481"
May.Tranparency 613,26/05/2021,DIG CUSTOMER EXPERIENCE PORTAL (CXP) DEL P,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,INV-0243,NERDS WITH WORDS LTD,"£32,102"
May.Tranparency 614,28/05/2021,DIG TBPS PROJECT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110277626,CAPGEMINI UK PLC,"£31,980"
May.Tranparency 615,17/05/2021,DIG WA TACTICAL TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,UKSI13152,VALTECH LTD,"£31,866"
May.Tranparency 616,18/05/2021,DWP GENERIC LEARNING,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,X146220,KNOWLEDGE POOL LTD,"£31,800"
May.Tranparency 617,27/05/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,E06948,MANNING GOTTLIEB OMD,"£31,760"
May.Tranparency 618,12/05/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,563516,BT GLOBAL SERVICES,"£31,685"
May.Tranparency 619,20/05/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,II9706509,NG BAILEY FACILITIES SERVICES LTD,"£31,468"
May.Tranparency 620,24/05/2021,FG CD STRATEGY AND BUSINESS MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - HR,100023703,SHARED SERVICES CONNECTED LTD,"£31,179"
May.Tranparency 621,06/05/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3883016546,COMPUTACENTER UK LTD,"£31,154"
May.Tranparency 622,19/05/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3883039654,COMPUTACENTER UK LTD,"£31,154"
May.Tranparency 623,25/05/2021,FG CD ESTATES OTHER COSTS DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,9900598130,SODEXO LTD,"£31,015"
May.Tranparency 624,05/05/2021,OPS WDC WSD CE BIRMINGHAM CENTRAL JOBCENTRE PLUS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - INTERPRETATION,90700945,THE BIG WORD,"£30,895"
May.Tranparency 625,17/05/2021,DWP GENERIC LEARNING,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,0000000547,ENGENDERING BALANCE LTD,"£30,800"
May.Tranparency 626,18/05/2021,DIG MOBILITY SERVICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,010266,JUMAR TECHNOLOGY LTD,"£30,672"
May.Tranparency 627,25/05/2021,OPS WDC WSD LN SUTTON JOBCENTRE PLUS,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,0000000049,GREEN SKILLS PARTNERSHIP CIC,"£30,649"
May.Tranparency 628,28/05/2021,DIG PENSIONS & DISABLED SERVICE INITIATIVES,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,INV-1264,SCRUMCONNECT LTD,"£30,600"
May.Tranparency 629,27/05/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - RECURRENT PUBLICITY,INV-MCS-00005302,M&C SAATCHI UK LTD,"£30,300"
May.Tranparency 630,28/05/2021,WWEG WP FG CEP ESF1420 MARCHES TRANS,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139187,REED IN PARTNERSHIP LTD,"£30,215"
