Indentifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Invoice Number,Supplier Name,Transparency Invoice Amount
Apr. Transparency 498,26/04/2021,FG FIN CONT SHARED SERVICES CORE COSTS,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,100022187A,SHARED SERVICES CONNECTED LTD,"£78,145"
Apr. Transparency 499,26/04/2021,FG CS HS PIP LOT 1,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,5584361183,ATOS IT SERVICES UK LTD TRADING AS INDEPENDENT ASSESSMENT SERVICES,"£77,620"
Apr. Transparency 500,19/04/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV-5968,OPENCAST SOFTWARE EUROPE LTD,"£77,145"
Apr. Transparency 501,30/04/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING APPS DEV,2600110274262,CAPGEMINI UK PLC,"£76,728"
Apr. Transparency 502,22/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210607,INSTANT MANAGED OFFICES,"£76,426"
Apr. Transparency 503,27/04/2021,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,EUINGB21-665247,AMAZON WEB SERVICES EMEA SARL,"£76,387"
Apr. Transparency 504,21/04/2021,SE SPD PRINT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - PRINTING,C50382,ALLIED PUBLICITY SERVICES MANCHESTER LTD,"£76,056"
Apr. Transparency 505,22/04/2021,DIG DIGITAL CROSS BOUNDARY TEAM - PEOPLE DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110273880,CAPGEMINI UK PLC,"£75,906"
Apr. Transparency 506,27/04/2021,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,EUINGB21-665724,AMAZON WEB SERVICES EMEA SARL,"£75,871"
Apr. Transparency 507,26/04/2021,DIG MS OFFICE SERVICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-024-06,QBIT KLOUD LTD,"£75,840"
Apr. Transparency 508,21/04/2021,OPS DD DIRECTOR,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND STAFF COSTS,PIP-DEC20-INV170001358,DEPARTMENT FOR COMMUNITIES,"£75,819"
Apr. Transparency 509,07/04/2021,DIG WORKPLACE COMPUTING SERVICE,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,3882976991,COMPUTACENTER UK LTD,"£75,775"
Apr. Transparency 510,27/04/2021,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,EUINGB21-654724,AMAZON WEB SERVICES EMEA SARL,"£75,237"
Apr. Transparency 511,16/04/2021,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - BANK CHARGES,18000000572021,HM REVENUE AND CUSTOMS,"£75,000"
Apr. Transparency 512,23/04/2021,OPS WDC WSD LN BEDS AND HERTS DISTRICT OFFICE,EXP - CURRENT GRANTS - NPISH - LOCAL PARTNERSHIPS,0002833307,LUTON BOROUGH COUNCIL,"£74,558"
Apr. Transparency 513,30/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,1504503,OVERBURY PLC,"£73,991"
Apr. Transparency 514,01/04/2021,DIG SDX REFRESH,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,INV 22531,RESOLUTION INTERIORS LTD,"£73,643"
Apr. Transparency 515,01/04/2021,OPS WDC WSD NATIONAL EMPLOYER AND PARTNERSHIP TEAM,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,5502233424,KPMG,"£73,146"
Apr. Transparency 516,08/04/2021,CHG DIGITAL DEBT MANAGEMENT SERVICE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,724475,FAIR ISAAC SERVICES LTD,"£72,864"
Apr. Transparency 517,19/04/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV007940,SCOTT LOGIC LTD,"£72,710"
Apr. Transparency 518,01/04/2021,DIG - NETWORK TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-DS-6B,UBDS IT CONSULTING LTD,"£72,600"
Apr. Transparency 519,29/04/2021,DIG CROSS CUTTING SERVICES,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV007941,SCOTT LOGIC LTD,"£72,580"
Apr. Transparency 520,15/04/2021,CHG UC DIGITAL SERVICES-RECURRENT,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,IEX38002447984,EXPERIAN LTD,"£72,500"
Apr. Transparency 521,12/04/2021,DIG TS-ENGINEERING,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,INV-0408,"SOURCEGRAPH, INC","£72,386"
Apr. Transparency 522,26/04/2021,EP CEP PHASE 2 NEA NB CPA09 NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138117,CUMBRIA CHAMBER OF COMMERCE,"£72,214"
Apr. Transparency 523,21/04/2021,CHG DWP RE-IMAGINE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110268206,CAPGEMINI UK PLC,"£71,153"
Apr. Transparency 730,27/04/2021,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,AWS09150S0221AR,"AMAZON WEB SERVICES, INC.","£70,987"
Apr. Transparency 524,01/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,AP12866-001,MORRIS & SPOTTISWOOD,"£70,084"
Apr. Transparency 525,21/04/2021,CHG DWP RE-IMAGINE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110270931,CAPGEMINI UK PLC,"£70,045"
Apr. Transparency 526,07/04/2021,DIG EUCS-06 DASHBOARD,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,0000001306,REDESMERE LTD,"£69,607"
Apr. Transparency 527,08/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,92255205,MITIE PROPERTY SERVICES UK LTD,"£69,594"
Apr. Transparency 528,07/04/2021,STR ESA DIRECTORATE HCPS,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,DRMMarch21a,ROYAL MAIL GROUP PLC,"£69,117"
Apr. Transparency 529,26/04/2021,EP CEP PHASE 2 NEA NB CPA04 LONDON & HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138114,IXION HOLDINGS CONTRACTS LTD,"£68,971"
Apr. Transparency 530,14/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,TCM6804,MCBAINS LTD,"£68,640"
Apr. Transparency 531,26/04/2021,EP CEP PHASE 2 NEA NB CPA01 CENTRAL ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138093,PEOPLEPLUS GROUP LTD,"£68,552"
Apr. Transparency 532,26/04/2021,EP CEP PHASE 2 NEA NB CPA12 SOUTHERN ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138096,PEOPLEPLUS GROUP LTD,"£68,518"
Apr. Transparency 533,20/04/2021,DIG INTEGRATION PLATFORMS DIGITAL GATEWAY,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5804210372,IBM UK LTD,"£67,960"
Apr. Transparency 534,20/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210529,INSTANT MANAGED OFFICES,"£67,753"
Apr. Transparency 535,21/04/2021,OPS DD DIRECTOR,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND STAFF COSTS,PIP-FEB21-INV170001362,DEPARTMENT FOR COMMUNITIES,"£67,742"
Apr. Transparency 536,14/04/2021,DIG ON PREMISES HOSTING REFRESH,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,2600110272847,CAPGEMINI UK PLC,"£67,011"
Apr. Transparency 537,01/04/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,AP12967-001,MORRIS & SPOTTISWOOD,"£67,000"
Apr. Transparency 538,14/04/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3882986561,COMPUTACENTER UK LTD,"£66,985"
Apr. Transparency 539,14/04/2021,DIG PROD OPS & ASSURANCE INITIATIVES,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING - CONNECTIVITY,562685,BT GLOBAL SERVICES,"£66,917"
Apr. Transparency 540,06/04/2021,DIG ITLR SOFTWARE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,1883,LOUD & BOW LTD,"£66,667"
Apr. Transparency 541,26/04/2021,DIG DYNAMIC TRUST HUB - CARERS PATHFINDER DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV-UK014910,BJSS LTD,"£66,612"
Apr. Transparency 542,26/04/2021,DIG DYNAMIC TRUST HUB,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003504217A,ACCENTURE UK LTD,"£66,577"
Apr. Transparency 543,26/04/2021,EP CEP PHASE 2 NEA NB CPA05 LONDON & HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138115,IXION HOLDINGS CONTRACTS LTD,"£66,530"
Apr. Transparency 544,23/04/2021,FG CD ESTATES RESIDUAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,16550,REMIT CONSULTING LLP,"£66,049"
Apr. Transparency 545,27/04/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING - CONNECTIVITY,540111,HIGHSPEED OFFICE LTD,"£65,518"
Apr. Transparency 546,06/04/2021,DIG TECHNOLOGY ASSET MANAGEMENT PROJECTS,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP/BEDIG/2103-2,DMSG LTD,"£65,094"
Apr. Transparency 547,28/04/2021,OPS DD DIRECTOR,EXP - PURCHASE OF GOODS/SERVICES - CLINICAL & MEDICAL,AINV-100428,ADVANCED PERSONNEL MANAGEMENT GROUP UK LTD,"£64,802"
Apr. Transparency 548,21/04/2021,OPS DD DIRECTOR,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND STAFF COSTS,LISAHALLY-PIP-JAN21-INV170001361,DEPARTMENT FOR COMMUNITIES,"£64,458"
Apr. Transparency 549,26/04/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,E02346,MANNING GOTTLIEB OMD,"£64,256"
Apr. Transparency 550,14/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,I196441,WAGSTAFF INTERIORS GROUP STD FURNITURE,"£64,033"
Apr. Transparency 551,26/04/2021,FG CS HS PIP LOT 1,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,5584361184,ATOS IT SERVICES UK LTD TRADING AS INDEPENDENT ASSESSMENT SERVICES,"£63,148"
Apr. Transparency 552,15/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,25S17L02182/CL/20Q04/15,GATESHEAD COUNCIL,"£63,142"
Apr. Transparency 553,26/04/2021,WWEG CEP IPES CPA 1 CENTRAL ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138106,SHAW TRUST,"£62,927"
Apr. Transparency 554,08/04/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,II9706237,NG BAILEY FACILITIES SERVICES LTD,"£62,562"
Apr. Transparency 555,30/04/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,E03911,MANNING GOTTLIEB OMD,"£62,493"
Apr. Transparency 556,06/04/2021,DIG MAINTENANCE - HEALTH DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2021/03G,SQC TECHNOLOGY LTD,"£62,160"
Apr. Transparency 557,09/04/2021,DIG EDW REMEDIATION,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,IN4060235,SANDHILL CONSULTANTS LTD,"£62,016"
Apr. Transparency 558,06/04/2021,DWP GENERIC LEARNING,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,16845,BABINGTON BUSINESS COLLEGE LTD,"£62,000"
Apr. Transparency 559,14/04/2021,DIG TECH PLATFORM CIS SEF,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV007942,SCOTT LOGIC LTD,"£61,265"
Apr. Transparency 560,14/04/2021,DIG WORKPLACE COMPUTING SERVICE,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,3882986562,COMPUTACENTER UK LTD,"£61,109"
Apr. Transparency 561,14/04/2021,DIG WORKPLACE COMPUTING SERVICE,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,3882986563,COMPUTACENTER UK LTD,"£61,109"
Apr. Transparency 562,15/04/2021,DIG WORKPLACE COMPUTING SERVICE,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,3882993939,COMPUTACENTER UK LTD,"£61,109"
Apr. Transparency 563,27/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,05S19P03077/CL/20Q04/07,SUSTAINABLE LIVES,"£61,019"
Apr. Transparency 564,08/04/2021,HR SPECIALIST TALENT ACQUISITION & RECRUITMENT,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - RECRUITMENT,78110859015,LINKEDIN IRELAND,"£60,244"
Apr. Transparency 565,14/04/2021,DIG IOS ARCHITECTURE DESIGN,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110273331,CAPGEMINI UK PLC,"£60,031"
Apr. Transparency 566,23/04/2021,STR FIT NOTE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INVOICENO:FTI000657,DEPARTMENT OF HEALTH,"£60,000"
Apr. Transparency 567,27/04/2021,FG SPC FG SECURITY  POLICY & COMPLIANCE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110271015,CAPGEMINI UK PLC,"£59,771"
Apr. Transparency 568,26/04/2021,EP CEP PHASE 2 NEA NB CPA14 WALES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138120,BUSINESS SENSE ASSOCIATES LTD,"£59,503"
Apr. Transparency 569,14/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,12S18P02639/CL/20Q03/09,PROGRESSION PATHWAYS,"£59,279"
Apr. Transparency 570,20/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,36S17P02173/CL/20Q04/08,MCMT SKILLS FOR GROWTH PROGRAMME,"£59,006"
Apr. Transparency 571,26/04/2021,DIG MS OFFICE SERVICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-023-07,QBIT KLOUD LTD,"£58,950"
Apr. Transparency 572,08/04/2021,HR EAP,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED,97432,PAM GROUP,"£58,725"
Apr. Transparency 573,08/04/2021,HR EAP,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED,98700,PAM GROUP,"£58,725"
Apr. Transparency 574,26/04/2021,DIG INTELLIGENT AUTOMATION GARAGE SERVICE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003504229,ACCENTURE UK LTD,"£58,447"
Apr. Transparency 575,15/04/2021,DIG MAINTENANCE - WORKING AGE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,INV02890533,SOFTCAT PLC,"£57,880"
Apr. Transparency 576,08/04/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,E01199,MANNING GOTTLIEB OMD,"£57,681"
Apr. Transparency 577,01/04/2021,OPS WDC WSD NE NORTHUMBRIA TYNE AND WEAR DISTRICT OFFICE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,0000000387,THE JUNCTION 42 FOUNDATION,"£57,200"
Apr. Transparency 578,14/04/2021,DIG - TOOLING MAINTENANCE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,0000027189,FUSION BUSINESS SOLUTIONS (UK) LTD,"£57,060"
Apr. Transparency 579,07/04/2021,DIG CORPORATE SERVICES (IT),EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-G11-HRT-08,PIXEL GROUP LTD,"£56,850"
Apr. Transparency 580,19/04/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV-5967,OPENCAST SOFTWARE EUROPE LTD,"£56,435"
Apr. Transparency 581,14/04/2021,DWP UCO DIRECTOR OUTSOURCING,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,562382,BT GLOBAL SERVICES,"£56,278"
Apr. Transparency 582,20/04/2021,FG CD ESTATES RESIDUAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,16544,REMIT CONSULTING LLP,"£56,148"
Apr. Transparency 583,08/04/2021,STR WORK & HEALTH JOINT UNIT,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ORIGINAL RESEARCH,21000742,IPSOS MORI,"£56,099"
Apr. Transparency 584,21/04/2021,DIG TECH PLATFORM CIS REMEDIATION,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5804210437,IBM UNITED KINGDOM LTD,"£55,901"
Apr. Transparency 585,26/04/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,3003504254,ACCENTURE UK LTD,"£55,855"
Apr. Transparency 586,26/04/2021,DIG HEALTH & DISABILITY - INITIATIVES DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5804210783,IBM UNITED KINGDOM LTD,"£55,793"
Apr. Transparency 587,06/04/2021,DIG PENSIONS & DISABLED SERVICE INITIATIVES,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,UKNI221051658,TATA CONSULTANCY SERVICES LTD,"£55,770"
Apr. Transparency 588,15/04/2021,DIG WA TACTICAL TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,UKSI12699,VALTECH LTD,"£55,680"
Apr. Transparency 589,01/04/2021,DIG SPECIALIST & ENGINEERING DEVICE SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,3882982253,COMPUTACENTER UK LTD,"£55,566"
Apr. Transparency 590,14/04/2021,CHG UC DESIGN & BUILD PROGRAMME MANAGER,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,KY88911,XMA LTD,"£55,314"
Apr. Transparency 591,15/04/2021,DIG ACCESSIBILITY SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,3882984307,COMPUTACENTER UK LTD,"£55,182"
Apr. Transparency 592,01/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,52939,FES SUPPORT SERVICES LTD,"£53,557"
Apr. Transparency 593,26/04/2021,EP CEP PHASE 2 NEA NB CPA06 LONDON & HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138116,IXION HOLDINGS CONTRACTS LTD,"£53,241"
Apr. Transparency 594,16/04/2021,CASD ANALYTICAL COMMUNITY,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ORIGINAL RESEARCH,0056927,NATIONAL CENTRE FOR SOCIAL RESEARCH,"£52,589"
Apr. Transparency 595,14/04/2021,DIG DOCUMENT COLLABORATION SERVICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-RMIG-4,UBDS IT CONSULTING LTD,"£52,405"
Apr. Transparency 596,07/04/2021,DIG DESKTOP SERVICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,3882942005,COMPUTACENTER UK LTD,"£52,371"
Apr. Transparency 597,14/04/2021,DIG CIS STAFFING,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,1801023,ORACLE CORPORATION UK LTD,"£52,361"
Apr. Transparency 598,26/04/2021,DIG DYNAMIC TRUST HUB - CARERS PATHFINDER DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003504235,ACCENTURE UK LTD,"£52,271"
Apr. Transparency 599,21/04/2021,SE SPD PRINT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - PRINTING,C50383,ALLIED PUBLICITY SERVICES MANCHESTER LTD,"£51,930"
Apr. Transparency 600,27/04/2021,FG SPC SECURITY CULTURE EDUCATION AWARENESS,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,2600110273343,CAPGEMINI UK PLC,"£51,925"
Apr. Transparency 601,27/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,12S17P00335/CL/21Q01/21,SOLIHULL MBC TA ESF 2014 2020,"£51,706"
Apr. Transparency 602,29/04/2021,DIG ITLR SOFTWARE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,3883004726,COMPUTACENTER UK LTD,"£51,690"
Apr. Transparency 603,23/04/2021,DIG APPLICATION DATA PLATFORMS CIS RELEASE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5804210729,IBM UNITED KINGDOM LTD,"£51,393"
Apr. Transparency 604,30/04/2021,DIG INTEGRATION PLATFORMS MESSAGING NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5804210785,IBM UK LTD,"£50,867"
Apr. Transparency 605,01/04/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - PRODUCTION,197923,MANNING GOTTLIEB OMD,"£50,112"
Apr. Transparency 606,14/04/2021,HR OHS,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL - OCCUPATIONAL HEALTH SERVICE,0000099519,PAM GROUP,"£50,000"
Apr. Transparency 607,14/04/2021,HR OHS,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL - OCCUPATIONAL HEALTH SERVICE,99520,PAM GROUP,"£50,000"
Apr. Transparency 608,23/04/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,i195010,WAGSTAFF INTERIORS GROUP STD FURNITURE,"£49,989"
Apr. Transparency 609,23/04/2021,DIG TECH PLATFORM CIS REMEDIATION,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5804210725,IBM UNITED KINGDOM LTD,"£49,621"
Apr. Transparency 610,16/04/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING TELEPHONY,97611748,VODAFONE LTD,"£49,541"
Apr. Transparency 611,15/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,ILCS0932-2,ISG FIT OUT LTD,"£49,532"
Apr. Transparency 612,08/04/2021,DIG MS OFFICE SERVICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-APP4-01,UBDS IT CONSULTING LTD,"£49,344"
Apr. Transparency 613,08/04/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,E01198,MANNING GOTTLIEB OMD,"£49,214"
Apr. Transparency 614,21/04/2021,SE SPD RECORDS MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - REMOTE STORAGE,0664776,IRON MOUNTAIN UK LTD,"£48,810"
Apr. Transparency 615,01/04/2021,HR GRS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - RECRUITMENT,3803816,CABINET OFFICE,"£48,710"
Apr. Transparency 616,07/04/2021,DIG PENSIONS & DISABLED SERVICE INITIATIVES,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2600110271203,CAPGEMINI UK PLC,"£48,248"
Apr. Transparency 617,15/04/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3882993940,COMPUTACENTER UK LTD,"£48,240"
Apr. Transparency 618,15/04/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3882993941,COMPUTACENTER UK LTD,"£48,240"
Apr. Transparency 619,30/04/2021,DIG TS-ENGINEERING,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,3883014448,COMPUTACENTER UK LTD,"£48,205"
Apr. Transparency 620,15/04/2021,FG CD STRATEGY AND BUSINESS MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-G12-CS-05,PIXEL GROUP LTD,"£48,032"
Apr. Transparency 621,01/04/2021,DIG INTELLIGENT AUTOMATION GARAGE SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,1355582250,PRICEWATERHOUSE COOPERS LLP,"£48,000"
Apr. Transparency 622,01/04/2021,DIG - NETWORK TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-NOSS-1,UBDS IT CONSULTING LTD,"£47,820"
Apr. Transparency 623,23/04/2021,OPS WDC WSD NW CUMBRIA AND LANCASHIRE DISTRICT OFFICE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,1450,STANDGUIDE LTD,"£47,552"
Apr. Transparency 624,19/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - GAS,63261,STARK SOFTWARE INTERNATIONAL LTD,"£47,363"
